sex,age,race,d,e,f,g,h,i,j,k,l,label
male,25-45,non-caucasian,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
female,45+,caucasian,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,10.0,1.0,1.0,1.0,0.0,10.0,10.0,1.0,high-recid-risk
male,25-45,non-caucasian,1.0,8.0,23.0,1.0,1.0,0.0,8.0,6.0,23.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,25.0,0.0,1.0,0.0,10.0,3.0,25.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,18.0,1.0,1.0,1.0,10.0,7.0,18.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,11.0,1.0,1.0,0.0,7.0,3.0,11.0,low-recid-risk
female,25-45,non-caucasian,0.0,9.0,2.0,1.0,0.0,0.0,9.0,8.0,2.0,low-recid-risk
female,25-45,caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,9.0,1.0,1.0,0.0,7.0,5.0,9.0,high-recid-risk
male,25-45,caucasian,1.0,9.0,9.0,1.0,0.0,0.0,9.0,6.0,9.0,low-recid-risk
male,25-45,caucasian,0.0,8.0,8.0,0.0,0.0,0.0,8.0,4.0,8.0,low-recid-risk
male,0-25,non-caucasian,1.0,10.0,7.0,1.0,1.0,0.0,10.0,10.0,7.0,high-recid-risk
male,0-25,non-caucasian,0.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,7.0,1.0,0.0,0.0,7.0,6.0,7.0,low-recid-risk
female,25-45,non-caucasian,0.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,high-recid-risk
female,25-45,non-caucasian,0.0,5.0,3.0,1.0,0.0,0.0,5.0,3.0,3.0,low-recid-risk
male,25-45,non-caucasian,1.0,8.0,26.0,1.0,1.0,0.0,8.0,4.0,26.0,high-recid-risk
female,25-45,non-caucasian,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,low-recid-risk
male,45+,caucasian,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,45+,caucasian,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,0-25,non-caucasian,0.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,low-recid-risk
male,45+,non-caucasian,0.0,8.0,11.0,1.0,0.0,0.0,8.0,3.0,11.0,low-recid-risk
male,45+,caucasian,0.0,2.0,13.0,1.0,0.0,0.0,2.0,1.0,13.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,9.0,1.0,1.0,0.0,7.0,3.0,9.0,high-recid-risk
female,25-45,caucasian,0.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,high-recid-risk
male,0-25,non-caucasian,0.0,8.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,high-recid-risk
male,45+,non-caucasian,1.0,4.0,8.0,0.0,1.0,0.0,4.0,5.0,8.0,high-recid-risk
female,25-45,non-caucasian,0.0,6.0,5.0,1.0,1.0,1.0,6.0,4.0,5.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,low-recid-risk
male,45+,non-caucasian,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,4.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,high-recid-risk
male,0-25,non-caucasian,1.0,7.0,1.0,1.0,1.0,0.0,7.0,7.0,1.0,high-recid-risk
female,25-45,non-caucasian,0.0,8.0,10.0,1.0,0.0,0.0,8.0,4.0,10.0,low-recid-risk
male,0-25,caucasian,0.0,9.0,8.0,1.0,1.0,0.0,9.0,9.0,8.0,low-recid-risk
female,25-45,caucasian,0.0,8.0,2.0,1.0,1.0,0.0,8.0,2.0,2.0,high-recid-risk
male,25-45,non-caucasian,0.0,6.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,low-recid-risk
male,25-45,caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,high-recid-risk
male,45+,caucasian,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,low-recid-risk
female,45+,caucasian,0.0,5.0,10.0,1.0,1.0,0.0,5.0,4.0,10.0,high-recid-risk
male,0-25,non-caucasian,0.0,3.0,0.0,1.0,1.0,0.0,3.0,5.0,0.0,high-recid-risk
female,0-25,non-caucasian,0.0,5.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,8.0,0.0,1.0,1.0,0.0,8.0,6.0,0.0,high-recid-risk
male,0-25,non-caucasian,0.0,7.0,1.0,1.0,1.0,0.0,7.0,6.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,27.0,1.0,0.0,0.0,10.0,6.0,27.0,low-recid-risk
male,45+,non-caucasian,0.0,8.0,10.0,1.0,0.0,0.0,8.0,6.0,10.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,high-recid-risk
male,0-25,caucasian,0.0,7.0,2.0,1.0,1.0,0.0,7.0,5.0,2.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,8.0,1.0,0.0,0.0,10.0,8.0,8.0,low-recid-risk
male,0-25,non-caucasian,0.0,9.0,0.0,1.0,1.0,1.0,9.0,6.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
female,45+,caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,6.0,1.0,1.0,1.0,0.0,6.0,5.0,1.0,high-recid-risk
male,25-45,non-caucasian,1.0,9.0,4.0,0.0,0.0,0.0,9.0,7.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,low-recid-risk
male,0-25,caucasian,0.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,7.0,3.0,1.0,1.0,0.0,7.0,4.0,3.0,high-recid-risk
female,25-45,non-caucasian,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,45+,caucasian,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,low-recid-risk
male,45+,non-caucasian,0.0,5.0,9.0,0.0,1.0,0.0,5.0,6.0,9.0,high-recid-risk
male,25-45,non-caucasian,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,high-recid-risk
female,45+,caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
male,0-25,non-caucasian,2.0,10.0,3.0,1.0,1.0,0.0,10.0,10.0,3.0,high-recid-risk
male,0-25,non-caucasian,0.0,7.0,2.0,0.0,0.0,0.0,7.0,9.0,2.0,low-recid-risk
male,0-25,non-caucasian,0.0,8.0,3.0,1.0,1.0,0.0,8.0,7.0,3.0,high-recid-risk
male,45+,caucasian,0.0,3.0,2.0,1.0,0.0,0.0,3.0,6.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,low-recid-risk
female,25-45,caucasian,0.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,9.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,5.0,1.0,0.0,0.0,10.0,9.0,5.0,low-recid-risk
male,45+,caucasian,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,0-25,caucasian,0.0,8.0,0.0,1.0,1.0,0.0,8.0,5.0,0.0,high-recid-risk
male,0-25,non-caucasian,0.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,5.0,3.0,1.0,1.0,0.0,5.0,3.0,3.0,high-recid-risk
male,0-25,non-caucasian,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,9.0,0.0,1.0,1.0,0.0,9.0,8.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,low-recid-risk
male,45+,caucasian,0.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,5.0,7.0,1.0,1.0,0.0,5.0,3.0,7.0,high-recid-risk
male,45+,caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
female,25-45,non-caucasian,0.0,7.0,11.0,1.0,0.0,0.0,7.0,4.0,11.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,high-recid-risk
female,25-45,non-caucasian,0.0,8.0,15.0,0.0,1.0,0.0,8.0,4.0,15.0,high-recid-risk
male,25-45,caucasian,0.0,4.0,9.0,0.0,0.0,0.0,4.0,3.0,9.0,low-recid-risk
male,25-45,non-caucasian,0.0,6.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,4.0,4.0,1.0,0.0,0.0,4.0,2.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,8.0,0.0,0.0,0.0,2.0,2.0,8.0,low-recid-risk
female,25-45,caucasian,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,5.0,5.0,1.0,1.0,0.0,5.0,2.0,5.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,high-recid-risk
female,0-25,caucasian,0.0,7.0,2.0,0.0,1.0,0.0,7.0,6.0,2.0,high-recid-risk
male,45+,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,low-recid-risk
male,45+,caucasian,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,high-recid-risk
male,25-45,caucasian,0.0,4.0,3.0,0.0,1.0,0.0,4.0,3.0,3.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,3.0,5.0,1.0,0.0,0.0,3.0,2.0,5.0,low-recid-risk
male,0-25,non-caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,low-recid-risk
male,25-45,non-caucasian,1.0,7.0,8.0,0.0,0.0,0.0,7.0,6.0,8.0,low-recid-risk
male,45+,caucasian,0.0,2.0,7.0,1.0,0.0,0.0,2.0,1.0,7.0,low-recid-risk
male,45+,non-caucasian,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,high-recid-risk
male,45+,caucasian,0.0,6.0,7.0,1.0,1.0,0.0,6.0,7.0,7.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,5.0,high-recid-risk
male,45+,caucasian,0.0,5.0,3.0,0.0,0.0,0.0,5.0,1.0,3.0,low-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,27.0,0.0,0.0,0.0,7.0,3.0,27.0,low-recid-risk
male,25-45,non-caucasian,0.0,6.0,5.0,1.0,0.0,0.0,6.0,6.0,5.0,low-recid-risk
female,25-45,non-caucasian,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,high-recid-risk
male,0-25,caucasian,0.0,10.0,0.0,1.0,1.0,0.0,10.0,10.0,0.0,high-recid-risk
female,25-45,caucasian,0.0,10.0,2.0,1.0,1.0,0.0,10.0,4.0,2.0,high-recid-risk
male,0-25,caucasian,0.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,high-recid-risk
male,0-25,non-caucasian,0.0,9.0,1.0,0.0,1.0,0.0,9.0,9.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,high-recid-risk
male,45+,caucasian,0.0,2.0,8.0,1.0,0.0,0.0,2.0,1.0,8.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,low-recid-risk
female,25-45,caucasian,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,low-recid-risk
male,45+,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,45+,caucasian,0.0,9.0,16.0,1.0,1.0,0.0,9.0,4.0,16.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,low-recid-risk
female,25-45,caucasian,0.0,6.0,3.0,1.0,1.0,0.0,6.0,7.0,3.0,high-recid-risk
female,25-45,non-caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,2.0,3.0,0.0,1.0,0.0,2.0,4.0,3.0,high-recid-risk
male,45+,non-caucasian,0.0,6.0,3.0,1.0,0.0,0.0,6.0,1.0,3.0,low-recid-risk
male,25-45,non-caucasian,0.0,8.0,11.0,1.0,0.0,0.0,8.0,6.0,11.0,low-recid-risk
male,25-45,non-caucasian,1.0,8.0,11.0,1.0,1.0,0.0,8.0,6.0,11.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,low-recid-risk
female,0-25,non-caucasian,0.0,9.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,high-recid-risk
female,25-45,caucasian,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,8.0,7.0,1.0,1.0,0.0,8.0,6.0,7.0,high-recid-risk
male,0-25,non-caucasian,0.0,8.0,1.0,1.0,0.0,0.0,8.0,7.0,1.0,low-recid-risk
male,0-25,non-caucasian,0.0,9.0,0.0,1.0,1.0,0.0,9.0,8.0,0.0,high-recid-risk
female,25-45,caucasian,0.0,4.0,3.0,1.0,0.0,0.0,4.0,2.0,3.0,low-recid-risk
male,45+,non-caucasian,0.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,low-recid-risk
male,45+,caucasian,0.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,2.0,1.0,1.0,0.0,7.0,7.0,2.0,high-recid-risk
male,0-25,non-caucasian,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,low-recid-risk
male,45+,caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,7.0,9.0,1.0,0.0,0.0,7.0,4.0,9.0,low-recid-risk
female,0-25,non-caucasian,0.0,10.0,2.0,1.0,1.0,1.0,10.0,9.0,2.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,8.0,1.0,1.0,0.0,10.0,5.0,8.0,high-recid-risk
female,25-45,non-caucasian,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,5.0,5.0,0.0,0.0,0.0,5.0,6.0,5.0,low-recid-risk
male,25-45,non-caucasian,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,low-recid-risk
female,25-45,non-caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,high-recid-risk
male,25-45,caucasian,0.0,4.0,8.0,1.0,1.0,0.0,4.0,6.0,8.0,high-recid-risk
male,25-45,non-caucasian,0.0,4.0,2.0,0.0,0.0,0.0,4.0,6.0,2.0,low-recid-risk
male,25-45,caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,4.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,high-recid-risk
male,45+,caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
female,25-45,non-caucasian,0.0,9.0,0.0,1.0,1.0,0.0,9.0,7.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,10.0,21.0,1.0,0.0,0.0,10.0,10.0,21.0,low-recid-risk
female,25-45,non-caucasian,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,low-recid-risk
male,25-45,caucasian,0.0,4.0,5.0,1.0,1.0,0.0,4.0,5.0,5.0,high-recid-risk
male,25-45,non-caucasian,3.0,10.0,19.0,0.0,1.0,0.0,10.0,6.0,19.0,high-recid-risk
male,0-25,non-caucasian,0.0,5.0,3.0,1.0,1.0,0.0,5.0,5.0,3.0,high-recid-risk
female,25-45,caucasian,0.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,high-recid-risk
male,45+,caucasian,0.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,9.0,high-recid-risk
female,0-25,non-caucasian,0.0,8.0,1.0,1.0,1.0,0.0,8.0,6.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,5.0,2.0,0.0,1.0,0.0,5.0,1.0,2.0,high-recid-risk
male,0-25,non-caucasian,0.0,8.0,2.0,0.0,1.0,0.0,8.0,4.0,2.0,high-recid-risk
female,45+,caucasian,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,low-recid-risk
male,0-25,non-caucasian,0.0,10.0,1.0,1.0,1.0,0.0,10.0,8.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,4.0,3.0,0.0,1.0,1.0,4.0,3.0,3.0,high-recid-risk
female,25-45,non-caucasian,0.0,6.0,3.0,1.0,1.0,0.0,6.0,4.0,3.0,high-recid-risk
male,45+,non-caucasian,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,9.0,28.0,0.0,1.0,0.0,9.0,8.0,28.0,high-recid-risk
male,25-45,non-caucasian,1.0,9.0,2.0,1.0,1.0,0.0,9.0,7.0,2.0,low-recid-risk
female,25-45,caucasian,0.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,10.0,9.0,0.0,1.0,1.0,10.0,9.0,9.0,high-recid-risk
male,45+,non-caucasian,0.0,6.0,4.0,1.0,0.0,0.0,6.0,3.0,4.0,low-recid-risk
male,25-45,non-caucasian,1.0,10.0,21.0,0.0,1.0,1.0,10.0,10.0,21.0,high-recid-risk
male,25-45,caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,low-recid-risk
female,25-45,caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
female,0-25,non-caucasian,0.0,9.0,4.0,1.0,1.0,0.0,9.0,8.0,4.0,high-recid-risk
female,25-45,caucasian,0.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,high-recid-risk
female,25-45,caucasian,0.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,9.0,20.0,1.0,1.0,0.0,9.0,5.0,20.0,high-recid-risk
male,0-25,non-caucasian,0.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,1.0,9.0,9.0,1.0,1.0,1.0,9.0,9.0,9.0,high-recid-risk
male,25-45,non-caucasian,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,low-recid-risk
male,0-25,non-caucasian,0.0,4.0,1.0,1.0,1.0,0.0,4.0,6.0,1.0,high-recid-risk
female,0-25,non-caucasian,0.0,10.0,0.0,1.0,1.0,0.0,10.0,9.0,0.0,high-recid-risk
female,25-45,caucasian,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,high-recid-risk
male,0-25,non-caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,5.0,4.0,1.0,0.0,0.0,5.0,5.0,4.0,low-recid-risk
male,25-45,non-caucasian,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,high-recid-risk
male,25-45,caucasian,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,3.0,low-recid-risk
male,25-45,non-caucasian,0.0,5.0,5.0,1.0,1.0,0.0,5.0,4.0,5.0,high-recid-risk
male,25-45,caucasian,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,5.0,low-recid-risk
male,45+,caucasian,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,low-recid-risk
male,0-25,non-caucasian,0.0,8.0,0.0,1.0,1.0,0.0,8.0,9.0,0.0,high-recid-risk
male,25-45,non-caucasian,0.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,8.0,7.0,1.0,1.0,0.0,8.0,7.0,7.0,high-recid-risk
male,0-25,caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,9.0,2.0,1.0,0.0,0.0,9.0,5.0,2.0,low-recid-risk
male,45+,non-caucasian,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,3.0,13.0,1.0,0.0,0.0,3.0,1.0,13.0,low-recid-risk
female,0-25,non-caucasian,0.0,5.0,2.0,1.0,0.0,0.0,5.0,7.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,45+,caucasian,0.0,4.0,7.0,1.0,0.0,0.0,4.0,1.0,7.0,low-recid-risk
male,25-45,non-caucasian,0.0,5.0,3.0,1.0,1.0,0.0,5.0,2.0,3.0,high-recid-risk
male,0-25,non-caucasian,0.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,high-recid-risk
male,45+,non-caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,caucasian,0.0,5.0,3.0,1.0,1.0,0.0,5.0,4.0,3.0,high-recid-risk
male,25-45,non-caucasian,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,low-recid-risk
female,25-45,caucasian,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,low-recid-risk
male,45+,non-caucasian,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,45+,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,45+,non-caucasian,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,low-recid-risk
