checking-account-status,duration-months,credit-history,purpose,credit-amount,saving-account-status,employment-status,disposable-income-percent,sex,other-debts,current-residence-time,property-type,age,installment-plans,housing,num-credit-lines,job-type,num-dependents,telephone,foreigner,label
no-account,48.0,critical-accounts,new-car,10127.0,500-1000DM,1-4yr,2.0,male,none,2.0,unknown,44.0,bank,free,1.0,low-skill-employed,1.0,none,yes,risky
no-account,6.0,existing-credit-paid-on-time,furniture,1543.0,1000+DM,1-4yr,4.0,male,none,2.0,real-estate,33.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,30.0,existing-credit-paid-on-time,used-car,4811.0,unknown-nosavings,4-7yr,2.0,female,none,4.0,insurance,24.0,stores,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,radio-television,727.0,100-500DM,<1yr,4.0,male,none,3.0,unknown,33.0,none,own,1.0,unemployed(resident),1.0,yes,yes,risky
0-200DM,8.0,existing-credit-paid-on-time,furniture,1237.0,<100DM,1-4yr,3.0,female,none,4.0,real-estate,24.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,9.0,existing-credit-paid-on-time,new-car,276.0,<100DM,1-4yr,4.0,male,none,4.0,real-estate,22.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,48.0,existing-credit-paid-on-time,others,5381.0,unknown-nosavings,unemployed,3.0,male,none,4.0,unknown,40.0,bank,free,1.0,unemployed(non-resident),1.0,yes,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,furniture,5511.0,100-500DM,1-4yr,4.0,male,none,1.0,car,25.0,stores,own,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,24.0,existing-credit-paid-on-time,furniture,3749.0,<100DM,<1yr,2.0,female,none,4.0,car,26.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,685.0,<100DM,4-7yr,2.0,male,none,3.0,car,25.0,bank,own,1.0,unemployed(resident),1.0,none,yes,risky
200+DM,4.0,existing-credit-paid-on-time,new-car,1494.0,unknown-nosavings,<1yr,1.0,male,none,2.0,real-estate,29.0,none,own,1.0,unemployed(resident),2.0,none,no,not-risky
owe-money,36.0,cur-ank-all-credit-paid-on-time,furniture,2746.0,<100DM,7+yr,4.0,male,none,4.0,car,31.0,bank,own,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,12.0,existing-credit-paid-on-time,furniture,708.0,<100DM,1-4yr,2.0,male,guarantor,3.0,insurance,38.0,none,own,1.0,unemployed(resident),2.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,furniture,4351.0,unknown-nosavings,1-4yr,1.0,female,none,4.0,insurance,48.0,none,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,education,701.0,<100DM,1-4yr,4.0,male,none,2.0,car,32.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,15.0,day-in-paying-credit,furniture,3643.0,<100DM,7+yr,1.0,female,none,4.0,insurance,27.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,30.0,critical-accounts,new-car,4249.0,<100DM,unemployed,4.0,male,none,2.0,car,28.0,none,own,2.0,high-skill-employed,1.0,none,yes,risky
owe-money,24.0,existing-credit-paid-on-time,radio-television,1938.0,<100DM,<1yr,4.0,male,none,3.0,insurance,32.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,24.0,existing-credit-paid-on-time,used-car,2910.0,<100DM,4-7yr,2.0,male,none,1.0,unknown,34.0,none,free,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,18.0,existing-credit-paid-on-time,furniture,2659.0,1000+DM,1-4yr,4.0,male,none,2.0,car,28.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,critical-accounts,new-car,1028.0,<100DM,1-4yr,4.0,female,none,3.0,real-estate,36.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,8.0,critical-accounts,new-car,3398.0,<100DM,4-7yr,1.0,male,none,4.0,real-estate,39.0,none,own,2.0,unemployed(resident),1.0,none,no,not-risky
no-account,12.0,critical-accounts,furniture,5801.0,unknown-nosavings,7+yr,2.0,male,none,4.0,insurance,49.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,new-car,1525.0,1000+DM,4-7yr,4.0,female,none,3.0,car,34.0,none,own,1.0,low-skill-employed,2.0,yes,yes,not-risky
200+DM,36.0,existing-credit-paid-on-time,radio-television,4473.0,<100DM,7+yr,4.0,male,none,2.0,car,31.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,6.0,existing-credit-paid-on-time,radio-television,1068.0,<100DM,7+yr,4.0,male,none,4.0,car,28.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
owe-money,24.0,critical-accounts,used-car,6615.0,<100DM,unemployed,2.0,male,none,4.0,unknown,75.0,none,free,2.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,18.0,critical-accounts,education,1864.0,100-500DM,1-4yr,4.0,female,none,2.0,real-estate,30.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
0-200DM,60.0,existing-credit-paid-on-time,new-car,7408.0,100-500DM,<1yr,4.0,female,none,2.0,insurance,24.0,none,own,1.0,high-skill-employed,1.0,none,yes,risky
no-account,48.0,critical-accounts,used-car,11590.0,100-500DM,1-4yr,2.0,female,none,4.0,car,24.0,bank,rent,2.0,unemployed(resident),1.0,none,yes,risky
owe-money,24.0,all-credit-paid-on-time,furniture,4110.0,<100DM,7+yr,3.0,male,none,4.0,unknown,23.0,bank,rent,2.0,low-skill-employed,2.0,none,yes,risky
owe-money,6.0,critical-accounts,furniture,3384.0,<100DM,1-4yr,1.0,male,none,4.0,real-estate,44.0,none,rent,1.0,high-skill-employed,1.0,yes,yes,risky
0-200DM,13.0,existing-credit-paid-on-time,radio-television,2101.0,<100DM,<1yr,2.0,female,guarantor,4.0,insurance,23.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,15.0,existing-credit-paid-on-time,domestic-appliance,1275.0,unknown-nosavings,1-4yr,4.0,female,none,2.0,car,24.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,24.0,existing-credit-paid-on-time,furniture,4169.0,<100DM,1-4yr,4.0,male,none,4.0,insurance,28.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,10.0,existing-credit-paid-on-time,furniture,1521.0,<100DM,1-4yr,4.0,male,none,2.0,car,31.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,24.0,critical-accounts,education,5743.0,<100DM,<1yr,2.0,female,none,4.0,unknown,24.0,none,free,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,21.0,existing-credit-paid-on-time,furniture,3599.0,<100DM,4-7yr,1.0,female,none,4.0,car,26.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,radio-television,3213.0,500-1000DM,<1yr,1.0,male,none,3.0,real-estate,25.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,buisness,4439.0,<100DM,7+yr,1.0,male,co-applicant,1.0,real-estate,33.0,bank,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
200+DM,10.0,existing-credit-paid-on-time,new-car,3949.0,<100DM,<1yr,1.0,male,guarantor,1.0,insurance,37.0,none,own,1.0,unemployed(resident),2.0,none,yes,not-risky
no-account,15.0,critical-accounts,radio-television,1459.0,<100DM,1-4yr,4.0,female,none,2.0,car,43.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,13.0,critical-accounts,radio-television,882.0,<100DM,<1yr,4.0,male,guarantor,4.0,real-estate,23.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,radio-television,3758.0,500-1000DM,unemployed,1.0,female,none,4.0,unknown,23.0,none,rent,1.0,unemployed(non-resident),1.0,none,yes,not-risky
no-account,6.0,day-in-paying-credit,buisness,1743.0,100-500DM,1-4yr,1.0,male,none,2.0,real-estate,34.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,9.0,critical-accounts,education,1136.0,1000+DM,7+yr,4.0,male,none,3.0,unknown,32.0,none,free,2.0,low-skill-employed,2.0,none,yes,risky
no-account,9.0,existing-credit-paid-on-time,domestic-appliance,1236.0,<100DM,<1yr,1.0,female,none,4.0,real-estate,23.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,9.0,existing-credit-paid-on-time,furniture,959.0,<100DM,1-4yr,1.0,female,none,2.0,car,29.0,none,own,1.0,low-skill-employed,1.0,none,no,risky
no-account,18.0,critical-accounts,used-car,3229.0,unknown-nosavings,unemployed,2.0,male,none,4.0,unknown,38.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,all-credit-paid-on-time,radio-television,6199.0,<100DM,1-4yr,4.0,male,none,2.0,insurance,28.0,none,rent,2.0,low-skill-employed,1.0,yes,yes,risky
no-account,10.0,existing-credit-paid-on-time,education,727.0,500-1000DM,7+yr,4.0,male,none,4.0,unknown,46.0,none,free,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,new-car,1246.0,<100DM,<1yr,4.0,male,none,2.0,real-estate,23.0,stores,own,1.0,unemployed(resident),1.0,none,yes,risky
no-account,12.0,critical-accounts,radio-television,2331.0,unknown-nosavings,7+yr,1.0,male,co-applicant,4.0,real-estate,49.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,36.0,day-in-paying-credit,radio-television,4463.0,<100DM,1-4yr,4.0,male,none,2.0,car,26.0,none,own,2.0,high-skill-employed,1.0,yes,yes,risky
no-account,12.0,existing-credit-paid-on-time,radio-television,776.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,28.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,30.0,existing-credit-paid-on-time,furniture,2406.0,<100DM,4-7yr,4.0,female,none,4.0,real-estate,23.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,18.0,existing-credit-paid-on-time,education,1239.0,unknown-nosavings,1-4yr,4.0,male,none,4.0,unknown,61.0,none,free,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,radio-television,3399.0,unknown-nosavings,7+yr,2.0,male,none,3.0,car,37.0,none,own,1.0,high-skill-employed,1.0,none,yes,not-risky
200+DM,12.0,day-in-paying-credit,new-car,2247.0,<100DM,1-4yr,2.0,female,none,2.0,car,36.0,stores,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,furniture,1766.0,<100DM,1-4yr,1.0,male,none,2.0,insurance,21.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,18.0,existing-credit-paid-on-time,furniture,2473.0,<100DM,unemployed,4.0,male,none,1.0,car,25.0,none,own,1.0,unemployed(non-resident),1.0,none,yes,risky
no-account,12.0,existing-credit-paid-on-time,buisness,1542.0,<100DM,4-7yr,2.0,male,none,4.0,car,36.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,18.0,critical-accounts,used-car,3850.0,<100DM,4-7yr,3.0,male,none,1.0,car,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,18.0,existing-credit-paid-on-time,furniture,3650.0,<100DM,<1yr,1.0,female,none,4.0,car,22.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,36.0,existing-credit-paid-on-time,furniture,3446.0,<100DM,7+yr,4.0,male,none,2.0,car,42.0,none,own,1.0,low-skill-employed,2.0,none,yes,risky
0-200DM,18.0,existing-credit-paid-on-time,furniture,3001.0,<100DM,4-7yr,2.0,female,none,4.0,real-estate,40.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,new-car,3079.0,unknown-nosavings,1-4yr,4.0,male,none,4.0,real-estate,36.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,critical-accounts,radio-television,6070.0,<100DM,7+yr,3.0,male,none,4.0,car,33.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,10.0,critical-accounts,furniture,2146.0,<100DM,<1yr,1.0,female,none,3.0,real-estate,23.0,none,rent,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,60.0,critical-accounts,new-car,13756.0,unknown-nosavings,7+yr,2.0,male,none,4.0,unknown,63.0,bank,free,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,60.0,cur-ank-all-credit-paid-on-time,others,14782.0,100-500DM,7+yr,3.0,female,none,4.0,unknown,60.0,bank,free,2.0,high-skill-employed,1.0,yes,yes,risky
owe-money,48.0,cur-ank-all-credit-paid-on-time,buisness,7685.0,<100DM,4-7yr,2.0,female,guarantor,4.0,car,37.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
no-account,18.0,day-in-paying-credit,radio-television,2320.0,<100DM,unemployed,2.0,male,none,3.0,real-estate,34.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,7.0,day-in-paying-credit,radio-television,846.0,unknown-nosavings,7+yr,3.0,male,none,4.0,unknown,36.0,none,free,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,36.0,existing-credit-paid-on-time,new-car,14318.0,<100DM,7+yr,4.0,male,none,2.0,unknown,57.0,none,free,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,6.0,critical-accounts,new-car,362.0,100-500DM,1-4yr,4.0,female,none,4.0,car,52.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,20.0,existing-credit-paid-on-time,furniture,2212.0,unknown-nosavings,4-7yr,4.0,male,none,4.0,car,39.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,used-car,12976.0,<100DM,unemployed,3.0,female,none,4.0,unknown,38.0,none,free,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,22.0,existing-credit-paid-on-time,new-car,1283.0,unknown-nosavings,4-7yr,4.0,female,none,4.0,insurance,25.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,new-car,1330.0,<100DM,<1yr,4.0,male,none,1.0,real-estate,26.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,30.0,day-in-paying-credit,buisness,4272.0,100-500DM,1-4yr,2.0,male,none,2.0,insurance,26.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
no-account,18.0,critical-accounts,radio-television,2238.0,<100DM,1-4yr,2.0,female,none,1.0,car,25.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,radio-television,1126.0,unknown-nosavings,<1yr,4.0,female,none,2.0,real-estate,21.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,critical-accounts,furniture,7374.0,<100DM,unemployed,4.0,male,none,4.0,insurance,40.0,stores,own,2.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,15.0,critical-accounts,buisness,2326.0,500-1000DM,1-4yr,2.0,male,none,4.0,car,27.0,bank,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,9.0,existing-credit-paid-on-time,buisness,1449.0,<100DM,4-7yr,3.0,female,none,2.0,car,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,new-car,1820.0,<100DM,1-4yr,2.0,male,none,2.0,insurance,30.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,furniture,983.0,1000+DM,<1yr,1.0,female,none,4.0,real-estate,19.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,36.0,existing-credit-paid-on-time,new-car,3249.0,<100DM,4-7yr,2.0,male,none,4.0,unknown,39.0,bank,free,1.0,high-skill-employed,2.0,yes,yes,not-risky
owe-money,6.0,critical-accounts,radio-television,1957.0,<100DM,4-7yr,1.0,female,none,4.0,car,31.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,9.0,critical-accounts,furniture,2406.0,<100DM,unemployed,2.0,male,none,3.0,car,31.0,none,own,1.0,high-skill-employed,1.0,none,yes,not-risky
0-200DM,39.0,day-in-paying-credit,education,11760.0,100-500DM,4-7yr,2.0,male,none,3.0,unknown,32.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,furniture,2578.0,<100DM,unemployed,3.0,female,none,4.0,unknown,55.0,none,free,1.0,high-skill-employed,1.0,none,yes,not-risky
owe-money,36.0,critical-accounts,furniture,2348.0,<100DM,1-4yr,3.0,male,none,2.0,insurance,46.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,1223.0,<100DM,7+yr,1.0,male,none,1.0,real-estate,46.0,none,rent,2.0,low-skill-employed,1.0,none,yes,risky
no-account,24.0,critical-accounts,radio-television,1516.0,1000+DM,1-4yr,4.0,female,none,1.0,real-estate,43.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,radio-television,1473.0,<100DM,<1yr,3.0,male,none,4.0,real-estate,39.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,critical-accounts,buisness,1887.0,unknown-nosavings,1-4yr,4.0,male,none,4.0,real-estate,28.0,bank,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,day-in-paying-credit,buisness,8648.0,<100DM,<1yr,2.0,male,none,2.0,car,27.0,bank,own,2.0,low-skill-employed,1.0,yes,yes,risky
no-account,14.0,day-in-paying-credit,new-car,802.0,<100DM,1-4yr,4.0,male,none,2.0,car,27.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,18.0,day-in-paying-credit,new-car,2899.0,unknown-nosavings,7+yr,4.0,male,none,4.0,car,43.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,radio-television,2039.0,<100DM,<1yr,1.0,male,none,1.0,insurance,22.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,24.0,critical-accounts,used-car,2197.0,unknown-nosavings,4-7yr,4.0,male,none,4.0,car,43.0,none,own,2.0,low-skill-employed,2.0,yes,yes,not-risky
owe-money,15.0,existing-credit-paid-on-time,radio-television,1053.0,<100DM,<1yr,4.0,male,none,2.0,real-estate,27.0,none,own,1.0,low-skill-employed,1.0,none,no,not-risky
no-account,24.0,existing-credit-paid-on-time,radio-television,3235.0,500-1000DM,7+yr,3.0,male,none,2.0,car,26.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
200+DM,12.0,critical-accounts,new-car,939.0,500-1000DM,4-7yr,4.0,male,none,2.0,real-estate,28.0,none,own,3.0,low-skill-employed,1.0,yes,yes,risky
0-200DM,24.0,existing-credit-paid-on-time,radio-television,1967.0,<100DM,7+yr,4.0,female,none,4.0,car,20.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,33.0,critical-accounts,used-car,7253.0,<100DM,4-7yr,3.0,male,none,2.0,car,35.0,none,own,2.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,buisness,2292.0,<100DM,unemployed,4.0,male,none,2.0,car,42.0,stores,own,2.0,high-skill-employed,1.0,yes,yes,risky
no-account,10.0,existing-credit-paid-on-time,new-car,1597.0,500-1000DM,1-4yr,3.0,male,none,2.0,unknown,40.0,none,rent,1.0,unemployed(resident),2.0,none,no,not-risky
owe-money,24.0,existing-credit-paid-on-time,new-car,1381.0,unknown-nosavings,1-4yr,4.0,female,none,2.0,insurance,35.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,36.0,critical-accounts,used-car,5842.0,<100DM,7+yr,2.0,male,none,2.0,insurance,35.0,none,own,2.0,low-skill-employed,2.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,new-car,2579.0,<100DM,<1yr,4.0,male,none,1.0,real-estate,33.0,none,own,1.0,unemployed(resident),2.0,none,yes,risky
owe-money,18.0,day-in-paying-credit,education,8471.0,unknown-nosavings,1-4yr,1.0,female,none,2.0,car,23.0,none,rent,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,21.0,existing-credit-paid-on-time,new-car,2782.0,500-1000DM,4-7yr,1.0,female,none,2.0,car,31.0,bank,own,1.0,high-skill-employed,1.0,none,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,new-car,1042.0,unknown-nosavings,1-4yr,4.0,female,none,2.0,insurance,33.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,15.0,existing-credit-paid-on-time,new-car,3186.0,1000+DM,4-7yr,2.0,female,none,3.0,car,20.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,used-car,2028.0,unknown-nosavings,1-4yr,4.0,male,none,2.0,car,30.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,critical-accounts,new-car,958.0,<100DM,4-7yr,2.0,male,none,3.0,real-estate,47.0,none,own,2.0,unemployed(resident),2.0,none,yes,not-risky
no-account,21.0,day-in-paying-credit,furniture,1591.0,100-500DM,4-7yr,4.0,male,none,3.0,real-estate,34.0,none,own,2.0,high-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,furniture,2762.0,unknown-nosavings,7+yr,1.0,female,none,2.0,insurance,25.0,bank,own,1.0,low-skill-employed,1.0,yes,yes,risky
0-200DM,18.0,existing-credit-paid-on-time,used-car,2779.0,<100DM,1-4yr,1.0,male,none,3.0,car,21.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,28.0,critical-accounts,radio-television,2743.0,<100DM,7+yr,4.0,male,none,2.0,car,29.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,critical-accounts,radio-television,1149.0,1000+DM,1-4yr,4.0,male,none,3.0,real-estate,46.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,9.0,existing-credit-paid-on-time,furniture,1313.0,<100DM,7+yr,1.0,male,none,4.0,car,20.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,18.0,critical-accounts,repairs,1190.0,<100DM,unemployed,2.0,female,none,4.0,unknown,55.0,none,free,3.0,unemployed(non-resident),2.0,none,yes,risky
no-account,5.0,existing-credit-paid-on-time,buisness,3448.0,<100DM,4-7yr,1.0,male,none,4.0,real-estate,74.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,others,11328.0,<100DM,1-4yr,2.0,male,co-applicant,3.0,car,29.0,bank,own,2.0,high-skill-employed,1.0,yes,yes,risky
owe-money,6.0,critical-accounts,furniture,1872.0,<100DM,unemployed,4.0,male,none,4.0,unknown,36.0,none,free,3.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,24.0,critical-accounts,repairs,2058.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,33.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,9.0,existing-credit-paid-on-time,furniture,2136.0,<100DM,1-4yr,3.0,male,none,2.0,real-estate,25.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,1484.0,unknown-nosavings,1-4yr,2.0,male,none,1.0,real-estate,25.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,6.0,existing-credit-paid-on-time,repairs,660.0,500-1000DM,4-7yr,2.0,male,none,4.0,real-estate,23.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,24.0,critical-accounts,new-car,1287.0,1000+DM,7+yr,4.0,female,none,4.0,real-estate,37.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,42.0,critical-accounts,repairs,3394.0,<100DM,unemployed,4.0,male,co-applicant,4.0,car,65.0,none,own,2.0,unemployed(non-resident),1.0,none,yes,not-risky
200+DM,12.0,cur-ank-all-credit-paid-on-time,buisness,609.0,<100DM,<1yr,4.0,female,none,1.0,real-estate,26.0,none,own,1.0,unemployed(non-resident),1.0,none,yes,risky
no-account,12.0,existing-credit-paid-on-time,new-car,1884.0,<100DM,7+yr,4.0,male,none,4.0,car,39.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,furniture,1620.0,<100DM,1-4yr,2.0,female,co-applicant,3.0,insurance,30.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,20.0,day-in-paying-credit,others,2629.0,<100DM,1-4yr,2.0,male,none,3.0,car,29.0,bank,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,education,719.0,<100DM,7+yr,4.0,male,none,4.0,car,41.0,bank,own,1.0,unemployed(resident),2.0,none,yes,risky
0-200DM,48.0,critical-accounts,furniture,5096.0,<100DM,1-4yr,2.0,female,none,3.0,car,30.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,9.0,critical-accounts,education,1244.0,unknown-nosavings,7+yr,4.0,female,none,4.0,insurance,41.0,none,rent,2.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,36.0,existing-credit-paid-on-time,new-car,1842.0,<100DM,<1yr,4.0,female,none,4.0,car,34.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
0-200DM,7.0,existing-credit-paid-on-time,radio-television,2576.0,<100DM,1-4yr,2.0,male,guarantor,2.0,real-estate,35.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,furniture,1424.0,unknown-nosavings,7+yr,3.0,female,none,4.0,real-estate,55.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,15.0,day-in-paying-credit,repairs,1512.0,1000+DM,1-4yr,3.0,male,none,3.0,insurance,61.0,stores,own,2.0,low-skill-employed,1.0,none,yes,risky
no-account,36.0,critical-accounts,used-car,11054.0,unknown-nosavings,1-4yr,4.0,male,none,2.0,car,30.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,radio-television,518.0,<100DM,1-4yr,3.0,female,none,1.0,real-estate,29.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,12.0,all-credit-paid-on-time,furniture,2759.0,<100DM,7+yr,2.0,male,none,4.0,insurance,34.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,used-car,2670.0,<100DM,7+yr,4.0,male,none,4.0,car,35.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,new-car,4817.0,<100DM,4-7yr,2.0,male,co-applicant,3.0,insurance,31.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,24.0,existing-credit-paid-on-time,used-car,2679.0,<100DM,<1yr,4.0,female,none,1.0,unknown,29.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,11.0,critical-accounts,new-car,3905.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,36.0,none,rent,2.0,low-skill-employed,2.0,none,yes,not-risky
